raw,Aylik_Yas,norm,percentile
19.0,89,80.902323,99.9
19.5,89,80.902323,99.9
20.0,89,80.902323,99.9
20.5,89,80.902323,99.9
21.0,89,80.902323,99.9
21.5,89,80.902323,99.9
22.0,89,80.902323,99.9
22.5,89,80.902323,99.9
23.0,89,80.902323,99.9
23.5,89,80.902323,99.9
24.0,89,80.902323,99.9
24.5,89,80.902323,99.9
25.0,89,80.902323,99.9
25.5,89,80.902323,99.9
26.0,89,80.902323,99.9
26.5,89,80.902323,99.9
27.0,89,80.902323,99.9
27.5,89,72.462214,98.765508
28.0,89,66.598894,95.153165
28.5,89,63.818844,91.64964
29.0,89,61.87723,88.252872
29.5,89,60.347537,84.960803
30.0,89,59.066867,81.771375
30.5,89,57.95454,78.682526
31.0,89,56.964357,75.692199
31.5,89,56.067251,72.798333
32.0,89,55.24368,69.99887
32.5,89,54.479837,67.291751
33.0,89,53.765586,64.674916
33.5,89,53.093256,62.146305
34.0,89,52.456893,59.70386
34.5,89,51.851778,57.345522
35.0,89,51.274106,55.06923
35.5,89,50.72076,52.872927
36.0,89,50.189149,50.754552
36.5,89,49.677102,48.712046
37.0,89,49.18277,46.743351
37.5,89,48.704571,44.846406
38.0,89,48.241134,43.019153
38.5,89,47.791261,41.259532
39.0,89,47.353897,39.565484
39.5,89,46.928103,37.93495
40.0,89,46.513038,36.36587
40.5,89,46.107939,34.856186
41.0,89,45.71211,33.403838
41.5,89,45.324904,32.006766
42.0,89,44.94572,30.662912
42.5,89,44.573987,29.370217
43.0,89,44.209159,28.12662
43.5,89,43.850705,26.930063
44.0,89,43.498103,25.778486
44.5,89,43.150835,24.669831
45.0,89,42.808374,23.602037
45.5,89,42.470183,22.573046
46.0,89,42.135706,21.580799
46.5,89,41.80436,20.623236
47.0,89,41.475528,19.698298
47.5,89,41.148551,18.803925
48.0,89,40.822718,17.938059
48.5,89,40.497255,17.09864
49.0,89,40.171315,16.283609
49.5,89,39.843963,15.490907
50.0,89,39.514157,14.718474
50.5,89,39.180731,13.964251
51.0,89,38.842369,13.226179
51.5,89,38.497574,12.502198
52.0,89,38.144625,11.79025
52.5,89,37.78153,11.088275
53.0,89,37.405955,10.394214
53.5,89,37.015133,9.706007
54.0,89,36.605737,9.021596
54.5,89,36.173702,8.338921
55.0,89,35.713973,7.655922
55.5,89,35.220114,6.970542
56.0,89,34.683725,6.280719
56.5,89,34.09348,5.584396
57.0,89,33.433499,4.879512
57.5,89,32.680371,4.164009
58.0,89,31.797211,3.435827
58.5,89,30.720242,2.692907
59.0,89,29.322527,1.93319
59.5,89,27.280962,1.154616
60.0,89,23.080018,0.355127
60.5,89,19.097677,0.1
61.0,89,19.097677,0.1
61.5,89,19.097677,0.1
62.0,89,19.097677,0.1
62.5,89,19.097677,0.1
63.0,89,19.097677,0.1
63.5,89,19.097677,0.1
64.0,89,19.097677,0.1
19.0,90,80.902323,99.9
19.5,90,80.902323,99.9
20.0,90,80.902323,99.9
20.5,90,80.902323,99.9
21.0,90,80.902323,99.9
21.5,90,80.902323,99.9
22.0,90,80.902323,99.9
22.5,90,80.902323,99.9
23.0,90,80.902323,99.9
23.5,90,80.902323,99.9
24.0,90,80.272901,99.876621
24.5,90,67.269143,95.790847
25.0,90,63.937126,91.829779
25.5,90,61.74555,87.99136
26.0,90,60.057633,84.273529
26.5,90,58.659539,80.674227
27.0,90,57.451648,77.191396
27.5,90,56.378974,73.822975
28.0,90,55.407762,70.566906
28.5,90,54.515719,67.421129
29.0,90,53.687309,64.383585
29.5,90,52.91125,61.452215
30.0,90,52.17908,58.62496
30.5,90,51.484283,55.89976
31.0,90,50.821733,53.274556
31.5,90,50.187328,50.747288
32.0,90,49.577733,48.315898
32.5,90,48.990203,45.978327
33.0,90,48.422455,43.732514
33.5,90,47.872578,41.576401
34.0,90,47.338953,39.507929
34.5,90,46.820209,37.525038
35.0,90,46.315173,35.625669
35.5,90,45.822847,33.807762
36.0,90,45.342371,32.069259
36.5,90,44.873012,30.408101
37.0,90,44.414144,28.822227
37.5,90,43.965232,27.309579
38.0,90,43.525828,25.868097
38.5,90,43.095551,24.495723
39.0,90,42.67409,23.190396
39.5,90,42.26119,21.950058
40.0,90,41.856649,20.772649
40.5,90,41.460311,19.656111
41.0,90,41.072063,18.598383
41.5,90,40.691828,17.597407
42.0,90,40.319562,16.651124
42.5,90,39.955245,15.757473
43.0,90,39.598881,14.914397
43.5,90,39.250491,14.119835
44.0,90,38.910102,13.371728
44.5,90,38.577746,12.668018
45.0,90,38.253453,12.006644
45.5,90,37.937237,11.385548
46.0,90,37.629093,10.80267
46.5,90,37.328986,10.255951
47.0,90,37.03684,9.743332
47.5,90,36.75253,9.262754
48.0,90,36.475867,8.812157
48.5,90,36.20659,8.389482
49.0,90,35.944352,7.992669
49.5,90,35.688709,7.61966
50.0,90,35.439106,7.268396
50.5,90,35.194867,6.936816
51.0,90,34.955178,6.622862
51.5,90,34.719072,6.324475
52.0,90,34.485417,6.039595
52.5,90,34.252894,5.766163
53.0,90,34.019974,5.502119
53.5,90,33.784891,5.245405
54.0,90,33.545606,4.993962
54.5,90,33.299758,4.745729
55.0,90,33.044596,4.498648
55.5,90,32.776889,4.250659
56.0,90,32.492795,3.999703
56.5,90,32.187672,3.743722
57.0,90,31.8558,3.480655
57.5,90,31.489952,3.208443
58.0,90,31.080718,2.925028
58.5,90,30.615388,2.628349
59.0,90,30.07598,2.316348
59.5,90,29.435516,1.986966
60.0,90,28.650224,1.638142
60.5,90,27.640702,1.267819
61.0,90,26.2352,0.873936
61.5,90,23.912996,0.454434
62.0,90,19.097677,0.1
62.5,90,19.097677,0.1
63.0,90,19.097677,0.1
63.5,90,19.097677,0.1
64.0,90,19.097677,0.1
19.0,91,80.902323,99.9
19.5,91,80.902323,99.9
20.0,91,80.902323,99.9
20.5,91,80.902323,99.9
21.0,91,80.902323,99.9
21.5,91,80.902323,99.9
22.0,91,70.304759,97.884591
22.5,91,65.150717,93.512288
23.0,91,62.41254,89.274404
23.5,91,60.437039,85.16888
24.0,91,58.850552,81.193656
24.5,91,57.503125,77.346674
25.0,91,56.318536,73.625874
25.5,91,55.252404,70.029196
26.0,91,54.276467,66.554582
26.5,91,53.371543,63.199972
27.0,91,52.523975,59.963307
27.5,91,51.723665,56.842528
28.0,91,50.962922,53.835575
28.5,91,50.235743,50.94039
29.0,91,49.53734,48.154912
29.5,91,48.863833,45.477083
30.0,91,48.212027,42.904843
30.5,91,47.579258,40.436134
31.0,91,46.963282,38.068896
31.5,91,46.362188,35.801069
32.0,91,45.774339,33.630594
32.5,91,45.198324,31.555413
33.0,91,44.63292,29.573465
33.5,91,44.077062,27.682693
34.0,91,43.529826,25.881035
34.5,91,42.990411,24.166434
35.0,91,42.458124,22.536829
35.5,91,41.932374,20.990162
36.0,91,41.412663,19.524374
36.5,91,40.898589,18.137404
37.0,91,40.389835,16.827194
37.5,91,39.886181,15.591685
38.0,91,39.387501,14.428817
38.5,91,38.893769,13.336532
39.0,91,38.405072,12.312769
39.5,91,37.921615,11.355469
40.0,91,37.443737,10.462574
40.5,91,36.971924,9.632024
41.0,91,36.50683,8.861759
41.5,91,36.04929,8.149721
42.0,91,35.60034,7.493851
42.5,91,35.161238,6.892088
43.0,91,34.733476,6.342374
43.5,91,34.318794,5.842649
44.0,91,33.919175,5.390855
44.5,91,33.536836,4.984932
45.0,91,33.174199,4.62282
45.5,91,32.833832,4.302461
46.0,91,32.518375,4.021795
46.5,91,32.230427,3.778763
47.0,91,31.972413,3.571306
47.5,91,31.746437,3.397364
48.0,91,31.554124,3.254878
48.5,91,31.396483,3.141789
49.0,91,31.273791,3.056038
49.5,91,31.185542,2.995565
50.0,91,31.130438,2.958311
50.5,91,31.106455,2.942217
51.0,91,31.106455,2.942217
51.5,91,31.106455,2.942217
52.0,91,31.106455,2.942217
52.5,91,31.106455,2.942217
53.0,91,31.106455,2.942217
53.5,91,31.106455,2.942217
54.0,91,31.106455,2.942217
54.5,91,31.106455,2.942217
55.0,91,31.106455,2.942217
55.5,91,31.106455,2.942217
56.0,91,31.106455,2.942217
56.5,91,31.106455,2.942217
57.0,91,31.106455,2.942217
57.5,91,31.106455,2.942217
58.0,91,31.106455,2.942217
58.5,91,31.106455,2.942217
59.0,91,31.106455,2.942217
59.5,91,31.106455,2.942217
60.0,91,31.106455,2.942217
60.5,91,31.106455,2.942217
61.0,91,31.106455,2.942217
61.5,91,31.106455,2.942217
62.0,91,31.106455,2.942217
62.5,91,31.106455,2.942217
63.0,91,31.106455,2.942217
63.5,91,31.106455,2.942217
64.0,91,31.106455,2.942217
19.0,92,80.902323,99.9
19.5,92,80.902323,99.9
20.0,92,80.902323,99.9
20.5,92,80.902323,99.9
21.0,92,67.003245,95.546504
21.5,92,63.421092,91.021971
22.0,92,61.094155,86.63745
22.5,92,59.303646,82.390882
23.0,92,57.816916,78.280209
23.5,92,56.527265,74.303369
24.0,92,55.37628,70.458306
24.5,92,54.328265,66.742958
25.0,92,53.359684,63.155267
25.5,92,52.454132,59.693174
