raw,Aylik_Yas,norm,percentile
47.0,73,80.902323,99.9
47.5,73,80.902323,99.9
48.0,73,80.902323,99.9
48.5,73,80.902323,99.9
49.0,73,80.902323,99.9
49.5,73,80.902323,99.9
50.0,73,80.902323,99.9
50.5,73,80.902323,99.9
51.0,73,80.902323,99.9
51.5,73,80.902323,99.9
52.0,73,80.902323,99.9
52.5,73,80.902323,99.9
53.0,73,80.902323,99.9
53.5,73,80.902323,99.9
54.0,73,80.902323,99.9
54.5,73,75.049197,99.387604
55.0,73,71.248517,98.32005
55.5,73,69.201372,97.257971
56.0,73,67.745471,96.201365
56.5,73,66.595978,95.150231
57.0,73,65.636121,94.104565
57.5,73,64.806021,93.064368
58.0,73,64.070678,92.029636
58.5,73,63.407778,91.000369
59.0,73,62.802174,89.976565
59.5,73,62.243093,88.958222
60.0,73,61.722586,87.945338
60.5,73,61.23461,86.937911
61.0,73,60.774457,85.935941
61.5,73,60.338388,84.939424
62.0,73,59.923377,83.94836
62.5,73,59.526941,82.962747
63.0,73,59.147015,81.982582
63.5,73,58.781862,81.007865
64.0,73,58.430006,80.038593
64.5,73,58.090182,79.074766
65.0,73,57.761297,78.11638
65.5,73,57.4424,77.163435
66.0,73,57.132656,76.215929
66.5,73,56.83133,75.27386
67.0,73,56.53777,74.337226
67.5,73,56.251395,73.406025
68.0,73,55.971685,72.480257
68.5,73,55.698173,71.559919
69.0,73,55.430435,70.645009
69.5,73,55.16809,69.735526
70.0,73,54.910789,68.831468
70.5,73,54.658214,67.932834
71.0,73,54.410075,67.039621
71.5,73,54.166103,66.151828
72.0,73,53.926054,65.269453
72.5,73,53.6897,64.392495
73.0,73,53.45683,63.520951
73.5,73,53.227249,62.654821
74.0,73,53.000776,61.794102
74.5,73,52.777241,60.938793
75.0,73,52.556486,60.088891
75.5,73,52.338363,59.244396
76.0,73,52.122732,58.405306
76.5,73,51.909463,57.571618
77.0,73,51.698433,56.743331
77.5,73,51.489525,55.920444
78.0,73,51.282629,55.102955
78.5,73,51.077642,54.290861
79.0,73,50.874463,53.484162
79.5,73,50.673,52.682856
80.0,73,50.473162,51.88694
80.5,73,50.274865,51.096414
81.0,73,50.078026,50.311274
81.5,73,49.882567,49.531521
82.0,73,49.688414,48.757152
82.5,73,49.495494,47.988165
83.0,73,49.303738,47.224558
