raw,Aylik_Yas,norm,percentile
19.0,89,80.902323,0.1
19.5,89,80.902323,0.1
20.0,89,80.902323,0.1
20.5,89,80.902323,0.1
21.0,89,80.902323,0.1
21.5,89,80.902323,0.1
22.0,89,80.902323,0.1
22.5,89,80.902323,0.1
23.0,89,80.902323,0.1
23.5,89,69.003476,2.869376
24.0,89,65.759134,5.752288
24.5,89,63.649988,8.612671
25.0,89,62.029945,11.448923
25.5,89,60.687355,14.259443
26.0,89,59.52482,17.04263
26.5,89,58.488987,19.796882
27.0,89,57.547284,22.520599
27.5,89,56.678277,25.212178
28.0,89,55.867072,27.870018
28.5,89,55.10287,30.492519
29.0,89,54.377582,33.078079
29.5,89,53.68498,35.625096
30.0,89,53.020166,38.131969
30.5,89,52.379215,40.597098
31.0,89,51.758935,43.01888
31.5,89,51.156697,45.395715
32.0,89,50.570316,47.726001
32.5,89,49.997961,50.008136
33.0,89,49.438089,52.24052
33.5,89,48.889402,54.421552
34.0,89,48.350806,56.549629
34.5,89,47.821384,58.623151
35.0,89,47.300382,60.640516
35.5,89,46.787191,62.600123
36.0,89,46.281339,64.500371
36.5,89,45.782491,66.339659
37.0,89,45.290442,68.116384
37.5,89,44.805128,69.828947
38.0,89,44.326628,71.475744
38.5,89,43.855174,73.055176
39.0,89,43.391167,74.565642
39.5,89,42.935193,76.005538
40.0,89,42.48804,77.373265
40.5,89,42.050723,78.667221
41.0,89,41.624507,79.885805
41.5,89,41.21093,81.027415
42.0,89,40.811824,82.090451
42.5,89,40.429337,83.07331
43.0,89,40.06594,83.974392
43.5,89,39.724427,84.792095
44.0,89,39.407889,85.524818
44.5,89,39.119676,86.17096
45.0,89,38.86332,86.728919
45.5,89,38.642426,87.197094
46.0,89,38.46054,87.573884
46.5,89,38.320979,87.857687
47.0,89,38.226653,88.046903
47.5,89,38.179892,88.139929
48.0,89,38.179892,88.135165
48.5,89,38.179892,88.03101
49.0,89,38.179892,87.825861
49.5,89,38.179892,87.518118
50.0,89,38.179892,87.106179
50.5,89,38.179892,86.588443
51.0,89,38.179892,85.96331
51.5,89,38.179892,85.229176
52.0,89,38.179892,84.384442
52.5,89,38.179892,83.427506
53.0,89,38.179892,82.356766
53.5,89,38.179892,81.170622
54.0,89,38.179892,79.867471
54.5,89,38.179892,78.445714
55.0,89,38.179892,76.903748
55.5,89,38.179892,75.239971
56.0,89,38.179892,73.452784
19.0,90,80.902323,0.1
19.5,90,80.902323,0.1
20.0,90,80.902323,0.1
20.5,90,80.902323,0.1
21.0,90,80.902323,0.1
21.5,90,80.902323,0.1
22.0,90,80.902323,0.1
22.5,90,70.922192,1.820946
