raw,Aylik_Yas,norm,percentile
32.0,89,80.902323,0.1
32.5,89,80.902323,0.1
33.0,89,80.902323,0.1
33.5,89,80.902323,0.1
34.0,89,80.902323,0.1
34.5,89,80.902323,0.1
35.0,89,80.902323,0.1
35.5,89,80.902323,0.1
36.0,89,80.902323,0.1
36.5,89,71.242343,1.682528
37.0,89,68.236757,3.410055
37.5,89,66.283306,5.172741
38.0,89,64.781105,6.96891
38.5,89,63.533689,8.79689
39.0,89,62.45086,10.655008
39.5,89,61.483314,12.541588
40.0,89,60.600998,14.454959
40.5,89,59.784154,16.393446
41.0,89,59.019046,18.355377
41.5,89,58.295707,20.339076
42.0,89,57.606646,22.342872
42.5,89,56.946067,24.365089
43.0,89,56.309379,26.404055
43.5,89,55.692862,28.458097
44.0,89,55.093445,30.52554
44.5,89,54.508548,32.604711
45.0,89,53.935968,34.693936
45.5,89,53.373795,36.791542
46.0,89,52.820344,38.895856
46.5,89,52.274111,41.005204
47.0,89,51.73373,43.117911
47.5,89,51.197943,45.232306
48.0,89,50.665571,47.346713
48.5,89,50.135497,49.459461
49.0,89,49.60664,51.568874
49.5,89,49.07794,53.67328
50.0,89,48.548341,55.771004
50.5,89,48.016772,57.860374
51.0,89,47.48213,59.939716
51.5,89,46.94326,62.007356
52.0,89,46.398936,64.061621
52.5,89,45.847833,66.100837
53.0,89,45.288497,68.12333
53.5,89,44.71931,70.127428
54.0,89,44.138443,72.111456
54.5,89,43.543795,74.073741
55.0,89,42.932918,76.012609
55.5,89,42.302905,77.926388
56.0,89,41.650253,79.813402
56.5,89,40.97065,81.671979
57.0,89,40.258682,83.500446
57.5,89,39.507378,85.297128
58.0,89,38.707514,87.060352
58.5,89,37.84646,88.788444
59.0,89,36.906191,90.479732
59.5,89,35.859567,92.132541
60.0,89,34.662698,93.745197
60.5,89,33.236999,95.316028
61.0,89,31.417449,96.84336
61.5,89,28.738361,98.325519
62.0,89,21.787283,99.760832
62.5,89,19.097677,99.9
63.0,89,19.097677,99.9
63.5,89,19.097677,99.9
64.0,89,19.097677,99.9
64.5,89,19.097677,99.9
65.0,89,19.097677,99.9
65.5,89,19.097677,99.9
66.0,89,19.097677,99.9
66.5,89,19.097677,99.9
67.0,89,19.097677,99.9
67.5,89,19.097677,99.9
68.0,89,19.097677,99.9
68.5,89,19.097677,99.9
69.0,89,19.097677,99.9
69.5,89,19.097677,99.9
70.0,89,19.097677,99.9
70.5,89,19.097677,99.9
71.0,89,19.097677,99.9
71.5,89,19.097677,99.9
72.0,89,19.097677,99.9
72.5,89,19.097677,99.9
73.0,89,19.097677,99.9
73.5,89,19.097677,99.9
74.0,89,19.097677,99.9
74.5,89,19.097677,99.9
75.0,89,19.097677,99.9
75.5,89,19.097677,99.9
76.0,89,19.097677,99.9
76.5,89,19.097677,99.9
77.0,89,19.097677,99.9
77.5,89,19.097677,99.9
78.0,89,19.097677,99.9
78.5,89,19.097677,99.9
79.0,89,19.097677,99.9
79.5,89,19.097677,99.9
80.0,89,19.097677,99.9
80.5,89,19.097677,99.9
81.0,89,19.097677,99.9
81.5,89,19.097677,99.9
82.0,89,19.097677,99.546902
82.5,89,19.097677,97.620583
83.0,89,19.097677,95.577128
83.5,89,19.097677,93.414864
84.0,89,19.097677,91.132118
32.0,90,80.902323,0.1
32.5,90,80.902323,0.1
33.0,90,80.902323,0.1
33.5,90,80.902323,0.1
34.0,90,80.902323,0.1
34.5,90,75.636282,0.517922
35.0,90,70.61669,1.961963
35.5,90,68.191545,3.444393
36.0,90,66.483991,4.96354
36.5,90,65.127051,6.517729
37.0,90,63.980244,8.105287
37.5,90,62.974081,9.72454
38.0,90,62.068853,11.373815
38.5,90,61.239629,13.051439
39.0,90,60.469671,14.755737
39.5,90,59.747169,16.485036
40.0,90,59.06345,18.237664
40.5,90,58.411947,20.011945
41.0,90,57.787549,21.806206
41.5,90,57.186193,23.618775
42.0,90,56.604587,25.447977
42.5,90,56.040013,27.292139
43.0,90,55.4902,29.149588
43.5,90,54.953218,31.018649
44.0,90,54.427411,32.897649
44.5,90,53.911339,34.784915
45.0,90,53.403733,36.678773
45.5,90,52.903467,38.577549
46.0,90,52.409532,40.479571
46.5,90,51.921008,42.383164
47.0,90,51.437054,44.286655
47.5,90,50.956892,46.18837
48.0,90,50.479793,48.086636
48.5,90,50.005069,49.979779
49.0,90,49.532061,51.866126
49.5,90,49.060136,53.744003
50.0,90,48.588675,55.611737
50.5,90,48.11707,57.467653
51.0,90,47.644713,59.310079
51.5,90,47.170996,61.137341
52.0,90,46.695298,62.947765
52.5,90,46.216982,64.739678
53.0,90,45.735389,66.511406
53.5,90,45.249825,68.261276
54.0,90,44.759557,69.987614
54.5,90,44.263801,71.688747
55.0,90,43.761711,73.363001
55.5,90,43.252364,75.008702
56.0,90,42.734742,76.624177
56.5,90,42.207712,78.207752
57.0,90,41.670003,79.757754
57.5,90,41.120168,81.272509
58.0,90,40.556545,82.750344
58.5,90,39.977198,84.189586
59.0,90,39.379849,85.588559
59.5,90,38.761771,86.945592
60.0,90,38.119654,88.259011
60.5,90,37.449406,89.527141
61.0,90,36.745858,90.748309
61.5,90,36.002331,91.920843
62.0,90,35.209938,93.043067
62.5,90,34.356432,94.11331
63.0,90,33.424191,95.129896
63.5,90,32.386367,96.091153
64.0,90,31.19881,96.995407
